name,median_household_income,median_monthly_rent,msa
" NY Metro Area""",55796,984,10580]
" PA-NJ Metro Area""",55630,1063,10900]
" MI Metro Area""",55880,1105,11460]
" GA Metro Area""",40391,816,12020]
" GA Metro Area""",53182,1147,12060]
" AL Metro Area""",39381,794,12220]
" TX Metro Area""",55744,1119,12420]
" MD Metro Area""",64812,1285,12580]
" NY Metro Area""",45959,732,13780]
" VA Metro Area""",40127,750,13980]
" IN Metro Area""",38143,749,14020]
" MA-NH Metro Area""",68020,1453,14460]
" CO Metro Area""",61859,1266,14500]
" NY Metro Area""",46420,782,15380]
" NC Metro Area""",41058,773,15500]
" IL Metro Area""",45845,821,16580]
" VA Metro Area""",56808,1110,16820]
" IL-IN-WI Metro Area""",57104,1218,16980]
" OH Metro Area""",46231,882,17460]
" CO Metro Area""",58732,1185,19740]
" NC Metro Area""",47982,930,20500]
" FL Metro Area""",40274,925,23540]
" NC Metro Area""",41120,786,24660]
" SC Metro Area""",42640,772,24860]
" CT Metro Area""",63104,1219,25540]
" TX Metro Area""",53942,1027,26420]
" IA Metro Area""",48425,926,26980]
" NY Metro Area""",52064,937,27060]
" NH-VT Micro Area""",50134,974,30100]
" WI Metro Area""",57594,1075,31540]
" CA Metro Area""",42449,932,32900]
" FL Metro Area""",45352,1195,33100]
" WI Metro Area""",49774,982,33340]
" MN-WI Metro Area""",62352,1209,33460]
" TN Metro Area""",47975,936,34980]
" CT Metro Area""",57056,1287,35300]
" LA Metro Area""",46134,930,35380]
" NY-NJ-PA Metro Area""",61927,1418,35620]
" PA-NJ-DE-MD Metro Area""",58095,1178,37980]
" PA Metro Area""",46700,742,38300]
" UT Metro Area""",54201,1128,39340]
" CA Metro Area""",56233,1277,40900]
" MO-IL Metro Area""",50912,908,41180]
" CA Metro Area""",59923,1498,41740]
" CA Metro Area""",73027,1623,41860]
" CA Metro Area""",83944,1717,41940]
" CA Metro Area""",61071,1539,42100]
" IN-MI Metro Area""",41991,766,43780]
" MA Metro Area""",49209,966,44140]
" NY Metro Area""",49694,835,45060]
" FL Metro Area""",41511,949,45220]
" FL Metro Area""",43547,969,45300]
" NJ Metro Area""",70956,1442,45940]
" CA Metro Area""",63384,1457,46700]
" VA-NC Metro Area""",57315,1211,47260]
" TX Metro Area""",39143,775,47380]
" DC-VA-MD-WV Metro Area""",84523,1703,47900]
" NC Metro Area""",42644,759,49180]
" MA Metro Area""",61212,1167,49340]]
